Incident Type,Location,Borough,Creation Date,Closed Date,Latitude,Longitude
Structural-Sidewalk Collapse,927 Broadway,Manhattan,10/29/16 12:13,,40.71442154,-74.00607638
Utility-Other,,Manhattan,11/22/16 8:53,,,
Administration-Other,Seagirt Blvd & Beach 9 Street,Queens,11/14/16 15:53,,40.71400364,-73.82998933
Law Enforcement-Other,,Brooklyn,10/29/16 17:35,,,
Utility-Water Main,2-17 54 Avenue,Queens,12/2/16 16:40,,40.71400364,-73.82998933
Fire-2nd Alarm,238 East 24 Street,Manhattan,11/25/16 4:06,,40.71442154,-74.00607638
Utility-Water Main,7th Avenue & West 27 Street,Manhattan,12/3/16 4:17,,40.71442154,-74.00607638
Fire-10-76 (Commercial High Rise Fire),130 East 57 Street,Manhattan,11/26/16 5:45,,,
Structural-Crane,,Brooklyn,11/18/16 13:12,,,
Fire-2nd Alarm,24 Charles Street,Manhattan,12/14/16 22:26,,40.71442154,-74.00607638
Fire-3rd Alarm,581 3 ave,new york,11/30/16 0:25,11/30/16 4:22,40.6674897,-73.994286
Structural-Collapse,55 Thompson St,Manhattan,11/28/16 21:51,,40.71442154,-74.00607638
Utility-Other,Hylan Blvd & Arbutus Avenue,Staten Island,11/29/16 6:49,,40.52609318,-74.18029751
Fire-2nd Alarm,53-09 Beach Channel Drive,Far Rockaway,12/18/16 17:52,,40.59508345,-73.78400536
Fire-1st Alarm,151 West 100 Street,Manhattan,12/23/16 13:36,,40.71442154,-74.00607638
Fire-2nd Alarm,1747 West 6 Street,Brooklyn,12/15/16 17:05,,40.60467676,-73.97901518
Structural-Crane,,Brooklyn,12/8/16 21:38,,,
Structural-Crane,225 Park Avenue South,Manhattan,12/9/16 12:20,,40.71442154,-74.00607638
Structural-Crane,,Brooklyn,11/18/16 13:12,,,
Fire-2nd Alarm,,Brooklyn,12/16/16 4:45,,,
Structural-Crane,229 Cherry Street,Manhattan,11/30/16 16:29,,40.71442154,-74.00607638
Administration-Meeting,720 Hunts Point Avenue,Bronx,12/14/16 14:50,,40.81509289,-73.88636923
Utility-Water Main,Watson Avenue  & Colgate Avenue,Bronx,12/17/16 23:32,,40.82565354,-73.88134827
Fire-1st Alarm,126 West 53rd Street,Manhattan,12/25/16 22:42,,40.71442154,-74.00607638
Fire-1st Alarm,151 West 100 Street,Manhattan,12/23/16 13:36,,40.71442154,-74.00607638
Utility-Other,,Manhattan,11/22/16 8:53,11/23/16 10:36,,
Fire-2nd Alarm,112 Taylor STreet,Staten Island,12/16/16 4:45,,40.63617531,-74.12338634
Transportation-Car,Cross Bronx Expressway & Webster Avenue,Bronx,12/27/16 6:21,,40.84442118,-73.90277739
Structural-Crane,,Brooklyn,12/3/16 15:23,12/3/16 18:57,,
Administration-Planned Event,1227 Tinton Avenue,Bronx,6/1/16 14:29,,40.83008667,-73.90004687
Fire-2nd Alarm,155-26 115 Avenue,Queens,12/17/16 9:04,,,
Structural-Crane,,Brooklyn,11/18/16 13:12,,,
Fire-1st Alarm,150-05 Cohancy Street,Queens,11/20/16 13:03,,40.71400364,-73.82998933
Rescue-Technical,81-10 134 Street,Queens,11/22/16 12:24,11/22/16 18:27,40.71400364,-73.82998933
Structural-Sidewalk Shed,155 Hudson Street,Manhattan,11/29/16 9:39,11/29/16 11:07,40.71442154,-74.00607638
Fire-2nd Alarm,1604 Prospect Place,Brooklyn,11/29/16 18:41,11/29/16 20:42,40.67284153,-73.92334742
Fire-1st Alarm,151 West 100 Street,Manhattan,12/23/16 13:36,,40.71442154,-74.00607638
Utility-Water Main,Watson Avenue  & Colgate Avenue,Bronx,12/17/16 23:32,,40.82565354,-73.88134827
Fire-2nd Alarm,152 23 Street,Brooklyn,12/18/16 3:42,,40.66208512,-73.99773598
Fire-1st Alarm,151 West 100 Street,Manhattan,12/23/16 13:36,,40.71442154,-74.00607638
Fire-1st Alarm,151 West 100 Street,Manhattan,12/23/16 13:36,,40.71442154,-74.00607638
Fire-1st Alarm,151 West 100 Street,Manhattan,12/23/16 13:36,,40.71442154,-74.00607638
Fire-6th Alarm,324 East 93rd,Manhattan,10/27/16 3:40,,40.71442154,-74.00607638
Utility-Power Outage,2800 W 5 St,Brooklyn,11/18/16 14:13,11/18/16 23:31,40.57967989,-73.97190928
Administration-Other,Seagirt Blvd & Beach 9 Street,Queens,11/14/16 15:53,,40.71400364,-73.82998933
Administration-Planned Event,1227 Tinton Avenue,Bronx,6/1/16 14:29,,40.83008667,-73.90004687
Law Enforcement-Other,,Brooklyn,10/29/16 17:35,,,
Structural-Crane,,Brooklyn,11/18/16 13:12,,,
Fire-2nd Alarm,155-26 115 Avenue,Queens,12/17/16 9:04,,,
Structural-Collapse,27 West 38 Street,Manhattan,10/30/15 10:39,,40.7514237,-73.98379814
Utility-Gas High Pressure,50-15 Beach Channel Drive,Queens,12/19/16 11:25,12/19/16 14:57,40.71400364,-73.82998933
Fire-1st Alarm,151 West 100 Street,Manhattan,12/23/16 13:36,,40.71442154,-74.00607638
Utility-Water Main,5601 16 Avenue,Brooklyn,12/20/16 7:16,,40.6268184,-73.98983949
Structural-Life Safety Violations,2028 East 9 Street,Brooklyn,12/16/16 12:35,4/5/17 10:10,40.59972441,-73.96242614
Structural-Collapse,,Brooklyn,11/15/16 21:28,11/15/16 21:51,,
Law Enforcement-Device,10th Street & 5th Avenue,Brooklyn,11/20/16 12:09,11/20/16 13:39,40.69245067,-73.99035623
Structural-Crane,229 Cherry Street,Manhattan,11/30/16 16:29,12/3/16 18:54,40.71442154,-74.00607638
HazMat-Fuel,115-31 203 Street,Queens,12/5/16 12:51,12/5/16 15:46,40.71400364,-73.82998933
Structural-Crane,,Brooklyn,12/8/16 21:38,12/10/16 12:25,,
Fire-1st Alarm,151 West 100 Street,New York,12/23/16 13:36,,40.71442154,-74.00607638
Structural-Life Safety Violations,2028 East 9 Street,Brooklyn,12/16/16 12:35,12/16/16 15:58,40.59972441,-73.96242614
Utility-Water Leak,1973 70 St,Brooklyn,6/26/11 13:57,6/26/11 19:20,40.61413637,-73.98954394
Fire-Sensitive Location,281 1st,Manhattan,6/27/11 11:33,6/27/11 13:00,,
Structural-Retaining Wall Collapse,173 Wright Street,Staten Island,8/28/11 10:59,8/28/11 15:01,40.62879029,-74.08088207
Utility-Gas Service Line,2 Astor Place,Manhattan,1/5/12 10:16,1/5/12 11:20,40.7300375,-73.99263231
Structural-Crane,225 Park Avenue South,Manhattan,12/9/16 12:20,,40.71442154,-74.00607638
Fire-Manhole,71-06 31 Ave,Queens,2/14/12 9:52,2/15/12 8:49,40.75816847,-73.89608316
Rescue-Confined Space,East 125 Street & Lexington Avenue,Manhattan,2/15/12 17:05,2/15/12 17:05,40.80437577,-73.93742024
Law Enforcement-Device,,Brooklyn,11/20/16 18:01,11/20/16 19:20,,
